order_id,order_date,amount,product_id
ORD100000,2023-01-07,123.17,3
ORD100001,2024-11-29,58.75,16
ORD100002,2023-11-13,18.07,5
ORD100003,2023-07-28,106.95,37
ORD100004,2023-03-20,72.22,4
ORD100005,2023-08-05,143.27,31
ORD100006,2024-10-11,100.05,34
ORD100007,2024-03-02,35.05,33
ORD100008,2023-03-18,203.87,22
ORD100009,2023-03-01,41.95,5
ORD100010,2023-02-23,111.28,26
ORD100011,2024-04-12,141.12,26
ORD100012,2024-05-07,45.98,23
ORD100013,2024-02-08,124.91,7
ORD100014,2023-04-05,199.71,5
ORD100015,2023-10-16,80.8,44
ORD100016,2024-05-15,86.46,32
ORD100017,2024-02-17,87.72,39
ORD100018,2023-09-18,10.07,18
ORD100019,2023-12-17,199.95,11
ORD100020,2024-09-17,101.32,1
ORD100021,2024-06-28,57.47,34
ORD100022,2023-03-29,48.89,35
ORD100023,2024-06-16,48.01,34
ORD100024,2024-06-08,12.42,43
ORD100025,2024-02-19,54.44,28
ORD100026,2024-12-08,60.16,44
ORD100027,2024-07-28,19.4,33
ORD100028,2023-10-20,109.22,9
ORD100029,2024-01-05,24.38,32
ORD100030,2024-08-14,123.57,49
ORD100031,2024-09-30,133.42,29
ORD100032,2023-04-23,32.42,41
ORD100033,2024-05-16,53.77,45
ORD100034,2024-01-10,68.15,36
ORD100035,2024-08-31,14.19,7
ORD100036,2024-11-21,57.87,45
ORD100037,2024-12-26,26.38,35
ORD100038,2023-08-14,234.03,38
ORD100039,2024-02-19,89.04,9
ORD100040,2023-10-23,24.74,44
ORD100041,2024-02-14,86.77,47
ORD100042,2024-08-16,65.25,39
ORD100043,2023-04-29,42.57,25
ORD100044,2024-05-17,63.48,33
ORD100045,2023-06-07,13.47,7
ORD100046,2024-06-02,30.05,50
ORD100047,2023-08-05,144.28,26
ORD100048,2023-02-08,213.35,27
ORD100049,2023-06-26,59.74,9
ORD100050,2023-07-26,47.66,40
ORD100051,2023-03-13,40.39,16
ORD100052,2023-10-29,41.71,34
ORD100053,2023-02-07,241.25,36
ORD100054,2023-07-19,20.3,6
ORD100055,2023-08-22,206.16,50
ORD100056,2023-10-02,36.03,48
ORD100057,2023-11-02,20.88,3
ORD100058,2024-03-13,21.68,3
ORD100059,2023-04-29,70.05,11
ORD100060,2024-10-09,42.68,25
ORD100061,2024-11-06,185.58,32
ORD100062,2023-05-17,55.87,37
ORD100063,2023-06-01,40.4,2
ORD100064,2024-05-07,34.92,50
ORD100065,2024-11-07,56.9,40
ORD100066,2023-11-23,21.23,18
ORD100067,2024-10-17,37.98,7
ORD100068,2024-08-27,35.91,38
ORD100069,2024-05-14,22.98,26
ORD100070,2023-05-04,98.07,14
ORD100071,2024-08-16,21.3,18
ORD100072,2023-05-27,54.48,36
ORD100073,2024-10-13,14.03,3
ORD100074,2024-02-29,217.36,5
ORD100075,2024-03-29,16.49,23
ORD100076,2023-05-12,88.16,44
ORD100077,2024-11-13,23.87,45
ORD100078,2024-10-15,20.87,10
ORD100079,2024-09-08,198.11,27
ORD100080,2023-09-22,83.42,29
ORD100081,2023-08-29,28.01,29
ORD100082,2024-10-22,60.77,19
ORD100083,2024-06-02,23.18,12
ORD100084,2023-08-28,77.55,2
ORD100085,2023-11-13,85.88,25
ORD100086,2023-01-03,54.08,26
ORD100087,2023-06-04,113.39,45
ORD100088,2023-06-16,106.83,33
ORD100089,2024-10-18,22.74,27
ORD100090,2024-09-08,17.98,44
ORD100091,2023-07-26,63.97,3
ORD100092,2024-07-18,114.05,19
ORD100093,2023-06-27,77.23,32
ORD100094,2024-03-03,243.1,25
ORD100095,2023-09-18,46.95,30
ORD100096,2024-08-01,32.28,14
ORD100097,2024-01-15,141.09,34
ORD100098,2024-03-13,150.4,1
ORD100099,2023-02-28,51.77,46
ORD100100,2023-05-24,14.86,44
ORD100101,2023-05-05,79.08,42
ORD100102,2023-08-22,19.06,11
ORD100103,2024-06-17,42.28,15
ORD100104,2023-05-08,50.9,42
ORD100105,2023-07-13,66.62,23
ORD100106,2023-07-14,268.32,22
ORD100107,2023-11-30,29.59,21
ORD100108,2023-01-07,27.88,24
ORD100109,2024-08-25,68.78,6
ORD100110,2023-03-18,21.54,17
ORD100111,2024-03-18,241.21,18
ORD100112,2023-02-25,39.29,34
ORD100113,2024-07-02,16.54,44
ORD100114,2023-11-27,35.26,40
ORD100115,2023-12-30,38.65,13
ORD100116,2024-02-07,14.93,43
ORD100117,2023-04-23,184.18,48
ORD100118,2023-10-01,30.65,38
ORD100119,2023-08-11,73.62,25
ORD100120,2024-01-05,41.43,45
ORD100121,2024-10-20,57.21,12
ORD100122,2023-10-22,24.47,50
ORD100123,2023-10-02,162.16,28
ORD100124,2023-09-09,120.36,35
ORD100125,2024-03-08,36.03,14
ORD100126,2023-08-15,27.43,47
ORD100127,2024-08-10,39.16,41
ORD100128,2023-07-15,32.19,34
ORD100129,2023-04-07,17.38,7
ORD100130,2023-09-16,62.19,30
ORD100131,2024-05-16,34.11,24
ORD100132,2023-07-23,120.93,34
ORD100133,2023-09-19,224.74,4
ORD100134,2024-04-26,20.63,38
ORD100135,2024-09-24,67.67,25
ORD100136,2024-03-30,108.93,1
ORD100137,2024-07-02,92.61,19
ORD100138,2024-02-08,62.65,47
ORD100139,2024-02-23,16.06,38
ORD100140,2023-07-21,31.88,22
ORD100141,2023-06-03,33.71,15
ORD100142,2024-03-17,26.9,11
ORD100143,2023-12-18,164.24,39
